WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,40.66,70,75,21.85,broken clouds
1,Te Anau,NZ,-45.4167,167.7167,53.08,65,100,3.27,overcast clouds
2,Jalu,LY,29.0331,21.5482,60.3,72,97,6.71,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,73.9,76,100,8.88,overcast clouds
4,Faanui,PF,-16.4833,-151.75,79.0,72,29,15.14,scattered clouds
5,Barrow,US,71.2906,-156.7887,8.62,78,100,18.41,light snow
6,Salinopolis,BR,-0.6136,-47.3561,80.47,76,100,11.68,overcast clouds
7,Georgetown,MY,5.4112,100.3354,80.53,91,20,2.3,few clouds
8,Gorontalo,ID,0.5412,123.0595,86.49,65,89,0.98,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,54.48,47,100,8.1,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,42.91,65,20,19.57,few clouds
11,Qasigiannguit,GL,68.8193,-51.1922,0.93,90,95,5.93,overcast clouds
12,Ormara,PK,25.2088,64.6357,75.52,50,46,2.73,scattered clouds
13,Albany,US,42.6001,-73.9662,41.41,73,52,5.01,broken clouds
14,Chintamani,IN,13.4,78.0667,64.74,94,89,4.05,overcast clouds
15,Tahlequah,US,35.9154,-94.97,48.07,71,0,0.0,clear sky
16,Henties Bay,NA,-22.116,14.2845,57.61,92,10,8.32,clear sky
17,Atuona,PF,-9.8,-139.0333,77.25,78,94,13.09,overcast clouds
18,Hermanus,ZA,-34.4187,19.2345,58.6,68,27,8.25,scattered clouds
19,Fairbanks,US,64.8378,-147.7164,13.08,91,98,2.71,overcast clouds
20,Sitka,US,57.0531,-135.33,46.29,87,100,13.8,moderate rain
21,Talnakh,RU,69.4865,88.3972,-14.8,100,100,3.98,overcast clouds
22,Kodiak,US,57.79,-152.4072,36.91,52,0,16.11,clear sky
23,Bhubaneswar,IN,20.2333,85.8333,61.02,94,2,2.3,mist
24,Port Alfred,ZA,-33.5906,26.891,59.18,86,0,1.01,clear sky
25,New Norfolk,AU,-42.7826,147.0587,60.93,38,100,2.17,overcast clouds
26,Richards Bay,ZA,-28.783,32.0377,68.97,89,99,7.29,overcast clouds
27,Asau,RO,46.4333,26.4,33.28,92,26,3.38,scattered clouds
28,Hobart,AU,-42.8794,147.3294,61.27,66,75,3.44,broken clouds
29,Hilo,US,19.7297,-155.09,76.24,75,94,11.01,overcast clouds
30,Dikson,RU,73.5069,80.5464,-12.15,100,100,8.21,overcast clouds
31,Torbay,CA,47.6666,-52.7314,31.75,92,40,6.91,scattered clouds
32,Husavik,IS,66.0449,-17.3389,39.97,98,100,9.17,overcast clouds
33,Vostok,RU,46.4856,135.8833,25.14,92,100,9.08,snow
34,Parksville,CA,49.3163,-124.3195,47.84,87,6,18.41,clear sky
35,Shubarshi,KZ,48.5872,57.1869,25.07,74,45,14.41,scattered clouds
36,Souillac,MU,-20.5167,57.5167,75.58,73,40,6.91,light rain
37,Avarua,CK,-21.2078,-159.775,80.65,65,100,17.27,overcast clouds
38,College,US,64.8569,-147.8028,13.06,91,98,2.77,overcast clouds
39,Qaanaaq,GL,77.484,-69.3632,0.07,73,100,5.21,overcast clouds
40,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.59,67,0,2.24,clear sky
41,Quixeramobim,BR,-5.1992,-39.2928,80.94,54,20,6.76,few clouds
42,Roald,NO,62.5833,6.1333,50.92,53,75,12.66,broken clouds
43,Chokurdakh,RU,70.6333,147.9167,-42.09,100,79,1.59,broken clouds
44,Matamoros,MX,25.5333,-103.25,55.11,39,0,12.39,clear sky
45,Pueblo Nuevo,MX,23.3833,-105.3833,47.59,80,0,0.36,clear sky
46,Bengkulu,ID,-3.8004,102.2655,76.17,88,97,2.28,overcast clouds
47,Burnie,AU,-41.0667,145.9167,62.94,54,100,8.16,overcast clouds
48,Susanville,US,40.4163,-120.653,37.24,52,0,3.0,clear sky
49,Port-Gentil,GA,-0.7193,8.7815,78.62,82,100,8.97,light rain
50,Coos Bay,US,43.3665,-124.2179,51.31,96,100,21.85,mist
51,Busselton,AU,-33.65,115.3333,62.83,59,97,11.45,overcast clouds
52,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,6.91,light rain
53,Ilulissat,GL,69.2167,-51.1,1.78,91,100,4.5,overcast clouds
54,Arraial Do Cabo,BR,-22.9661,-42.0278,72.25,87,15,15.99,few clouds
55,Lower Hutt,NZ,-41.2167,174.9167,64.31,66,100,17.27,overcast clouds
56,Galashki,RU,43.1136,44.9894,43.75,84,99,1.9,overcast clouds
57,Lebu,CL,-37.6167,-73.65,57.13,84,0,18.99,clear sky
58,Sur,OM,22.5667,59.5289,75.65,66,3,5.5,clear sky
59,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,50,9.35,scattered clouds
60,Jelgava,LV,56.65,23.7128,28.44,95,100,2.89,overcast clouds
61,Kosh-Agach,RU,50.0,88.6667,12.94,81,100,3.15,light snow
62,Areosa,PT,41.7178,-8.8571,53.15,75,99,9.26,overcast clouds
63,Ust-Maya,RU,60.4167,134.5333,-39.12,100,100,0.92,overcast clouds
64,Ribeira Grande,PT,38.5167,-28.7,64.78,85,100,8.99,overcast clouds
65,Bluff,NZ,-46.6,168.3333,54.81,52,100,15.41,overcast clouds
66,Abalak,RU,58.1286,68.5944,-23.35,97,10,2.13,clear sky
67,Vaini,TO,-21.2,-175.2,84.36,74,20,16.11,few clouds
68,Kefalos,GR,36.7453,26.9589,59.22,67,40,18.41,scattered clouds
69,Padang,ID,-0.9492,100.3543,77.05,83,100,4.05,overcast clouds
70,Mount Gambier,AU,-37.8333,140.7667,76.53,41,100,16.91,overcast clouds
71,Mindelo,CV,16.8901,-24.9804,73.89,68,0,16.24,clear sky
72,High River,CA,50.5834,-113.8687,35.17,82,90,6.91,overcast clouds
73,Yellowknife,CA,62.456,-114.3525,19.92,86,100,11.5,light snow
74,Jinchang,CN,38.4953,102.1739,42.64,19,11,9.57,few clouds
75,Saint-Pierre,RE,-21.3393,55.4781,73.08,73,0,6.91,clear sky
76,Maumere,ID,-8.6199,122.2111,84.97,71,82,3.18,broken clouds
77,Katherine,AU,-14.4667,132.2667,86.32,70,100,5.75,overcast clouds
78,Santa Cecilia,BR,-26.9608,-50.4269,55.67,91,25,4.27,scattered clouds
79,Roseburg,US,43.2165,-123.3417,51.51,83,100,0.0,overcast clouds
80,Nuevitas,CU,21.5453,-77.2644,76.53,78,88,7.23,overcast clouds
81,East London,ZA,-33.0153,27.9116,63.84,67,100,3.4,overcast clouds
82,Longyearbyen,SJ,78.2186,15.6401,17.44,86,20,6.91,few clouds
83,Nikolskoye,RU,59.7035,30.7861,16.92,91,89,6.04,overcast clouds
84,Nemuro,JP,43.3236,145.575,53.19,80,100,34.61,overcast clouds
85,Dwarka,IN,22.2394,68.9678,74.71,51,0,9.86,clear sky
86,Saint George,US,37.1041,-113.5841,50.95,34,2,2.33,clear sky
87,Jamestown,US,42.097,-79.2353,42.39,63,100,8.05,overcast clouds
88,Turayf,SA,31.6725,38.6637,53.82,68,68,11.03,broken clouds
89,Esperance,AU,-33.8667,121.9,65.17,67,21,14.54,few clouds
90,Beringovskiy,RU,63.05,179.3167,10.51,89,100,7.34,overcast clouds
91,Moindou,NC,-21.6924,165.677,78.84,55,0,10.63,clear sky
92,Berlevag,NO,70.8578,29.0864,30.2,80,100,11.5,overcast clouds
93,Bubaque,GW,11.2833,-15.8333,82.27,56,100,5.28,overcast clouds
94,Upernavik,GL,72.7868,-56.1549,10.04,84,100,6.82,overcast clouds
95,Toora-Khem,RU,52.4675,96.11,3.45,97,100,2.19,overcast clouds
96,Thinadhoo,MV,0.5333,72.9333,80.83,77,100,12.84,overcast clouds
97,Salalah,OM,17.0151,54.0924,73.53,66,0,2.91,clear sky
98,Moanda,GA,-1.5575,13.2178,70.03,99,100,2.33,moderate rain
99,Lorengau,PG,-2.0226,147.2712,86.14,60,66,5.14,broken clouds
100,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,92,100,2.3,light snow
101,Cape Town,ZA,-33.9258,18.4232,61.11,71,0,13.8,clear sky
102,Akdepe,TM,42.0551,59.3788,41.04,79,5,13.31,clear sky
103,Khatanga,RU,71.9667,102.5,-28.03,100,33,4.16,scattered clouds
104,Kilchberg,CH,47.3244,8.5455,42.8,94,75,3.44,fog
105,Chabahar,IR,25.2919,60.643,76.55,47,14,3.49,few clouds
106,Saskylakh,RU,71.9167,114.0833,-19.8,99,100,4.56,overcast clouds
107,Vaitape,PF,-16.5167,-151.75,78.96,72,30,15.21,scattered clouds
108,Grindavik,IS,63.8424,-22.4338,39.67,75,0,16.11,clear sky
109,Kavieng,PG,-2.5744,150.7967,84.18,65,30,5.32,scattered clouds
110,Gizo,SB,-8.103,156.8419,84.92,68,64,3.87,broken clouds
111,Porto Novo,BJ,6.4965,2.6036,79.07,84,8,7.16,clear sky
112,Komsomolskiy,UZ,40.4272,71.7189,38.12,87,95,4.61,mist
113,Tsabong,BW,-26.0217,22.401,75.79,21,8,9.71,clear sky
114,Arkhangelsk,RU,64.5401,40.5433,3.31,92,75,0.0,broken clouds
115,Ponta Do Sol,PT,32.6667,-17.1,68.63,72,37,3.09,scattered clouds
116,Kontagora,NG,10.3999,5.4695,71.28,26,100,4.43,overcast clouds
117,Caravelas,BR,-17.7125,-39.2481,74.66,89,100,11.01,moderate rain
118,Kollegal,IN,12.15,77.1167,65.53,95,70,1.43,broken clouds
119,Puerto Ayora,EC,-0.7393,-90.3518,67.55,95,76,5.01,broken clouds
120,Bedum,NL,53.3008,6.6028,46.4,91,0,8.52,clear sky
121,Victoria,HK,22.2855,114.1577,74.32,90,99,3.0,overcast clouds
122,Port Lincoln,AU,-34.7333,135.8667,70.92,63,53,12.1,broken clouds
123,Soc Trang,VN,9.6033,105.98,80.08,84,100,3.38,overcast clouds
124,Castro,BR,-24.7911,-50.0119,55.6,91,99,4.25,overcast clouds
125,Medina Del Campo,ES,41.3124,-4.9141,35.64,71,100,3.6,overcast clouds
126,Goderich,CA,43.7501,-81.7165,41.92,71,51,17.29,broken clouds
127,Puertollano,ES,38.6871,-4.1073,44.15,59,100,5.32,overcast clouds
128,Eureka,US,40.8021,-124.1637,57.2,72,93,2.91,overcast clouds
129,Kuala Terengganu,MY,5.3302,103.1408,78.91,76,97,2.95,overcast clouds
130,Palmer,US,42.1584,-72.3287,44.46,62,33,1.99,scattered clouds
131,Thompson,CA,55.7435,-97.8558,28.56,100,100,4.61,overcast clouds
132,Tuatapere,NZ,-46.1333,167.6833,52.32,58,100,10.76,overcast clouds
133,Muros,ES,42.7762,-9.0603,52.68,95,100,8.25,overcast clouds
134,San Luis,AR,-33.295,-66.3356,80.49,23,3,9.28,clear sky
135,Macapa,BR,0.0389,-51.0664,79.07,79,97,10.0,overcast clouds
136,Sampit,ID,-2.5333,112.95,79.21,85,100,2.26,overcast clouds
137,Derzhavinsk,KZ,51.1,66.3167,0.43,90,6,10.63,clear sky
138,Ikom,NG,5.9667,8.7063,71.71,79,7,1.1,clear sky
139,Bathsheba,BB,13.2167,-59.5167,79.47,77,60,17.78,broken clouds
140,Jiuquan,CN,39.7432,98.5174,35.51,30,100,5.32,overcast clouds
141,Ust-Kuyga,RU,70.0167,135.6,-43.37,99,74,5.88,broken clouds
142,Kapaa,US,22.0752,-159.319,80.58,58,71,5.99,broken clouds
143,Santa Luzia,BR,-19.7697,-43.8514,67.1,90,58,3.71,light rain
144,Arequipa,PE,-16.3989,-71.535,59.07,54,0,4.61,clear sky
145,Chuy,UY,-33.6971,-53.4616,63.73,87,0,6.08,clear sky
146,Acari,PE,-15.4311,-74.6158,71.02,80,30,3.85,scattered clouds
147,Mao,ES,39.8885,4.2658,57.76,62,40,24.16,scattered clouds
148,Lompoc,US,34.6391,-120.4579,71.74,32,0,5.41,clear sky
149,Norman Wells,CA,65.282,-126.8329,12.24,85,100,0.0,light snow
150,Vila Velha,BR,-20.3297,-40.2925,70.95,97,91,10.33,overcast clouds
151,Bandarbeyla,SO,9.4942,50.8122,76.57,79,2,9.26,clear sky
152,Kismayo,SO,-0.3582,42.5454,78.03,78,62,8.52,broken clouds
153,Pisco,PE,-13.7,-76.2167,66.02,86,1,3.94,clear sky
154,San Felipe,VE,10.3399,-68.7425,72.63,99,100,2.13,overcast clouds
155,Hithadhoo,MV,-0.6,73.0833,81.9,74,94,12.8,overcast clouds
156,Frontera,MX,26.9333,-101.45,54.32,80,76,3.0,broken clouds
157,Terney,RU,45.0503,136.6092,38.73,64,13,13.27,few clouds
158,San Patricio,US,28.017,-97.5169,60.89,96,100,7.56,overcast clouds
159,Kolyvan,RU,55.3053,82.7391,-20.42,89,25,10.18,scattered clouds
160,Upata,VE,8.0086,-62.3989,76.19,94,62,2.89,broken clouds
161,Chum Phae,TH,16.5443,102.0992,74.35,92,100,0.16,heavy intensity rain
162,Vestmannaeyjar,IS,63.4427,-20.2734,44.47,73,97,21.36,overcast clouds
163,Bouloupari,NC,-21.8667,166.05,82.31,50,3,9.8,clear sky
164,Constitucion,CL,-35.3333,-72.4167,56.98,82,23,1.95,few clouds
165,Srednekolymsk,RU,67.45,153.6833,-16.62,98,97,7.38,overcast clouds
166,Airai,TL,-8.9266,125.4092,66.24,81,100,1.3,overcast clouds
167,Kijang,KR,35.2442,129.2139,59.38,49,0,3.31,clear sky
168,Pevek,RU,69.7008,170.3133,-5.19,91,100,3.83,overcast clouds
169,Sibolga,ID,1.7427,98.7792,78.33,78,100,1.5,overcast clouds
170,Curuguaty,PY,-24.4694,-55.6945,69.21,72,86,4.03,overcast clouds
171,Kirakira,SB,-10.4544,161.9205,84.52,73,81,7.25,broken clouds
172,La Macarena,CO,2.1837,-73.7849,72.57,98,98,2.35,overcast clouds
173,Dingle,PH,10.9995,122.6711,82.22,81,100,8.7,overcast clouds
174,Pathein,MM,16.7833,94.7333,74.75,75,72,6.04,broken clouds
175,Dzilam Gonzalez,MX,21.2833,-88.9333,76.26,92,27,6.08,scattered clouds
176,Conceicao Da Barra,BR,-18.5933,-39.7322,73.26,95,100,9.62,overcast clouds
177,Port Elizabeth,ZA,-33.918,25.5701,59.29,75,0,10.36,clear sky
178,Cherskiy,RU,68.75,161.3,-13.38,98,100,3.18,overcast clouds
179,Bredasdorp,ZA,-34.5322,20.0403,58.64,64,94,1.83,overcast clouds
180,Makakilo City,US,21.3469,-158.0858,76.57,51,91,19.13,overcast clouds
181,Acapulco,MX,16.8634,-99.8901,80.42,83,40,5.75,scattered clouds
182,Waitati,NZ,-45.75,170.5667,51.8,76,100,10.49,light rain
183,Moyo,UG,3.6609,31.7247,70.56,73,93,0.6,overcast clouds
184,Ballina,AU,-28.8667,153.5667,81.01,50,0,16.89,clear sky
185,Carnarvon,AU,-24.8667,113.6333,69.71,56,0,17.98,clear sky
186,Clyde River,CA,70.4692,-68.5914,-10.97,77,100,5.75,overcast clouds
187,Mahajanga,MG,-15.7167,46.3167,73.42,64,20,4.61,few clouds
188,Mar Del Plata,AR,-38.0023,-57.5575,61.95,90,0,14.0,clear sky
189,Guerrero Negro,MX,27.9769,-114.0611,67.64,27,0,10.51,clear sky
190,Bobrovka,RU,54.047,61.7455,-14.46,100,70,4.72,broken clouds
191,Inzer,RU,54.2167,57.5556,10.09,85,99,4.03,overcast clouds
192,Cabo San Lucas,MX,22.8909,-109.9124,77.05,53,0,5.75,clear sky
193,Tual,ID,-5.6667,132.75,83.25,74,97,8.5,overcast clouds
194,Tasiilaq,GL,65.6145,-37.6368,37.56,71,100,28.54,overcast clouds
195,Irtyshskiy,RU,58.3333,68.1333,-23.01,98,14,1.68,few clouds
196,Kalmunai,LK,7.4167,81.8167,76.78,84,59,3.58,broken clouds
197,San Cristobal,VE,7.7669,-72.225,66.87,96,100,1.21,overcast clouds
198,Kaeo,NZ,-35.1,173.7833,66.56,61,62,8.08,broken clouds
199,Anadyr,RU,64.75,177.4833,7.3,78,40,6.71,scattered clouds
200,Iqaluit,CA,63.7506,-68.5145,-4.31,70,71,4.0,broken clouds
201,Liwale,TZ,-9.7667,37.9333,70.83,81,100,6.87,overcast clouds
202,Itarema,BR,-2.9248,-39.9167,78.69,76,95,13.15,overcast clouds
203,Chake Chake,TZ,-5.2459,39.7666,74.46,88,59,7.61,moderate rain
204,Fortuna,US,40.5982,-124.1573,56.93,73,0,9.22,clear sky
205,Porto Nacional,BR,-10.7081,-48.4172,75.2,95,100,4.25,moderate rain
206,Moranbah,AU,-22.0016,148.0466,87.39,26,100,7.31,overcast clouds
207,Fomboni,KM,-12.28,43.7425,79.77,77,3,11.45,clear sky
208,Meulaboh,ID,4.1363,96.1285,76.86,85,99,3.0,overcast clouds
209,Renala Khurd,PK,30.8833,73.6,58.01,28,0,1.72,clear sky
210,Qinhuangdao,CN,39.9317,119.5883,31.95,24,10,6.8,clear sky
211,Kisangani,CD,0.5167,25.2,71.89,99,100,0.69,light rain
212,Methoni,GR,36.8197,21.7049,53.22,55,13,3.96,few clouds
213,Safaga,EG,26.7292,33.9365,68.47,51,0,3.2,clear sky
214,Xinxiang,CN,35.3089,113.8672,48.02,27,5,16.17,clear sky
215,Umm Lajj,SA,25.0213,37.2685,71.98,51,0,9.48,clear sky
216,Alta Floresta,BR,-9.8756,-56.0861,72.48,96,100,2.39,moderate rain
217,Hofn,IS,64.2539,-15.2082,41.83,91,100,14.79,overcast clouds
218,Labuhan,ID,-6.8844,112.2051,81.1,76,100,4.68,overcast clouds
219,Vestnes,NO,62.6264,7.0884,46.24,49,75,10.36,broken clouds
220,Manggar,ID,-2.8833,108.2667,79.7,81,100,3.71,heavy intensity rain
221,Hervey Bay,AU,-25.2986,152.8535,77.58,64,0,14.23,clear sky
222,Jizan,SA,17.3333,42.6667,79.14,76,3,2.95,light rain
223,Novoagansk,RU,61.9449,76.6625,-20.79,90,100,5.03,overcast clouds
224,Namwala,ZM,-15.7504,26.4384,68.67,82,100,2.35,overcast clouds
225,Madimba,TZ,-10.4,40.3333,76.01,83,21,9.4,few clouds
226,Zhigansk,RU,66.7697,123.3711,-35.45,97,100,8.5,overcast clouds
